"","Hectare.Squirrel.Number","Above.Ground.Sighter.Measurement","Primary.Fur.Color","Notes"
"2",3,30,"Gray","grooming"
"10",2,5,"Gray","tree"
"13",5,10,"Black","Branch"
"14",1,50,"Gray","sitting"
"15",3,8,"Gray","chasing (#4 across trees)"
"16",5,3,"Gray","trash can"
"19",4,12,"Gray","on tree knobsitting"
"20",16,2,"Gray","tree"
"21",5,10,"Black","Behind fence, tree"
"22",4,10,"Gray","tree near large rock on Bridle Pathwalking on branch"
"23",1,25,"Gray","Climbing treeclimbing (tree)"
"24",3,2,"Gray","bottom of treestill"
"25",1,50,"Gray","took nut to bury"
"27",13,20,"Gray","way up a tree!"
"28",1,7,"Gray","tree"
"29",1,20,"Gray","flying"
"31",11,5,"Gray","in tree"
"32",1,5,"Gray","In the Woods/Brushwatching me"
"33",1,10,"Gray","in treelooked at us"
"34",5,25,"Gray","nest building"
"36",2,13,"Gray","shelter in hole in tree"
"37",11,3,"Cinnamon","on tree facing downwardchased #12"
"38",2,50,"Gray","unaware of"
"39",4,15,"Gray","grooming"
"41",3,6,"Gray","child chasing"
"43",5,28,"Gray","sitting still"
"44",7,10,"Cinnamon","mad!"
"45",2,12,"Gray","treesitting in tree"
"46",8,10,"Gray","together w/ #7"
"47",1,30,"Unknown","Too far & cloudy to tell"
"51",1,15,"Black","in tree by arsenal - climbing"
"54",3,3,"Unknown","fenceplaying tag together"
"55",3,4,"Cinnamon","on fenceprancing"
"58",7,3,"Gray","on fence"
"59",1,7,"Gray","White selected as Primary. Cinnamon selected as Highlights. Made executive adjustments.sitting very still"
"60",7,2,"Cinnamon","on tree trunk"
"62",3,10,"Gray","in a tree with red berries"
"63",9,20,"Gray","playing w/ #8"
"64",6,15,"Gray","tree"
"65",5,3,"Cinnamon","In and below shrub"
"66",2,25,"Gray","tree"
"68",1,3,"Gray","approaches (he saw me,came towards,then darted up)"
"69",3,2,"Gray","98th @ edge of park"
"73",1,10,"Gray","eating in tree"
"74",1,10,"Gray","sitting still,tail over back"
"75",1,15,"Gray","too busy eating in his tree"
"76",3,2,"Gray","No Tail!bench"
"77",6,10,"Gray","Darker than othersRunning down tree"
"78",5,20,"Gray","sitting"
"80",4,1,"Gray","chasing #3"
"83",3,15,"Gray","lower branch of treeran up tree when approached"
"84",3,30,"Gray","tree"
"86",5,10,"Gray","In treeruns from (us)"
"89",6,2,"Gray","on a bench"
"93",2,15,"Gray","seems to be grinding teeth on a piece of material (sounds from grinding)"
"96",11,4,"Gray","stared"
"97",2,25,"Black","cautiously aware"
"99",2,8,"Gray","in tree"
"100",2,15,"Gray","watching me from tree - curious"
"101",9,2,"Cinnamon","went up tree"
"104",3,15,"Black","ran up tree"
"106",1,15,"Gray","hidingfroze,sight of dogs"
"109",3,3,"Gray","ran to treebeing chased"
"110",10,12,"Cinnamon","""Brown"" written in as Primary"
"111",1,5,"Gray","climbing tree"
"114",2,25,"Gray","kids were trying to poke it with a stick"
"115",1,2,"Gray","on railing"
"116",2,3,"Gray","fence"
"118",1,40,"Gray","tree"
"119",5,10,"Gray","tree"
"120",9,20,"Gray","canoodling w/ 8"
"121",3,25,"Gray","in tree"
"122",1,5,"Gray","climbed tree"
"123",8,6,"Gray","treenot backing down"
"126",1,15,"Gray","eating (red berries)"
"127",6,30,"Gray","tree"
"128",4,20,"Black","Moved 20+ feet high above top of tree limb"
"130",2,10,"Gray","in treepeanuts"
"135",9,25,"Gray","In tree"
"140",3,17,"Black","running across overpass"
